,text,_id,polarity
0,"RT @zeusyeet: 🎁50$W GIVEAWAY

☑️Follow me + @group_wipcoin
☑️Retweet + Like my pinned message
☑️Tag a Friend 

⏰Winner will be picked in 72…",5dacf8e7beb2f34d8bdbfd67,"Sentiment(classification='neg', p_pos=0.19699324778360222, p_neg=0.8030067522163972)"
1,RT @eternalcrypto1: Draw ends 10/26/19 at 12:00 pm UTC -6 https://t.co/yXo2DXVjWM,5dacf8e9beb2f34d8bdbfd69,"Sentiment(classification='pos', p_pos=0.5427934994039028, p_neg=0.4572065005960971)"
2,"RT @2local1: Why DAYTA 
Take control of your Personal Information.
#2local  #ICOAlert  #cryptocurrency #L2L
#prosperity #sustainabilitycsrs…",5dacf8ebbeb2f34d8bdbfd6b,"Sentiment(classification='pos', p_pos=0.8923900997045231, p_neg=0.10760990029547748)"
3,"Join me to get @Listia's new $XNK #cryptocurrency for free! Use code ""CYKZJZ"" for an extra 100 XNK. Just got this w… https://t.co/7LiJeIGk6k",5dacf8edbeb2f34d8bdbfd6d,"Sentiment(classification='pos', p_pos=0.5907919915700935, p_neg=0.4092080084299057)"
4,"RT @BitdripTokens: Launch of Bitdrop Exchange Token

Name: Bitdrop
Symbol : BTD
Total Supply : 500,000,000,000

Giveaways [Airdrops]
We are…",5dacf8f8beb2f34d8bdbfd6f,"Sentiment(classification='pos', p_pos=0.9373640445639417, p_neg=0.06263595543605721)"
5,"RT @BitcoinCashCity: The same with other cities in Australia, the #BCHcity is choosing #BitcoinCash 🥰 https://t.co/sUmq6eEwmp",5dacf8fabeb2f34d8bdbfd71,"Sentiment(classification='pos', p_pos=0.57915244233344, p_neg=0.4208475576665592)"
6,"RT @bitcoinfuture10: 👻HAPPY HALLOWEEN👻

#giveaway for 3 lucky people pick after 10 hours !!!

 - 8 $BNB
 - 0.5 $ETH
 - 300 $ENJ

 Rules
 -…",5dacf8ffbeb2f34d8bdbfd73,"Sentiment(classification='neg', p_pos=0.2683048753529453, p_neg=0.731695124647055)"
7,"🔥 Más de 200 taxis venezolanos descubren los beneficios de #BitcoinCash

✅ #Fintech #BCH #MercadoLibre #Blockchain… https://t.co/1oYPtVp6GX",5dacf903beb2f34d8bdbfd75,"Sentiment(classification='neg', p_pos=0.21259673258813355, p_neg=0.7874032674118661)"
8,Electroneum Startup Launches New Services In Turkey https://t.co/kV2vOcBFdv #Cryptocurrency #BlockchainNews #CryptoAdoption #cryptoStartup,5dacf904beb2f34d8bdbfd77,"Sentiment(classification='neg', p_pos=0.250579284929102, p_neg=0.7494207150708962)"
9,RT @XBTS_EXCHANGE: XBTS Dex exchange website https://t.co/hteas218Yn updated. Trading page with data on real-time trading volumes is availa…,5dacf912beb2f34d8bdbfd79,"Sentiment(classification='neg', p_pos=0.19320354304439127, p_neg=0.8067964569556081)"
10,RT @vicckybers: Crypto innovation by a great dev team #webdollar #cryptocurrency #BlockchainExplorer,5dacf912beb2f34d8bdbfd7b,"Sentiment(classification='neg', p_pos=0.48853682988602787, p_neg=0.5114631701139721)"
11,"RT @eternalcrypto1: 2500 #ADA Giveaway!!

10 WINNERS will receive 250 $ADA each!!

COMPLETE these 3 
SIMPLE STEPS to enter:

✅ FOLLOW @eter…",5dacf915beb2f34d8bdbfd7d,"Sentiment(classification='pos', p_pos=0.9004347544681687, p_neg=0.09956524553183223)"
12,RT @RoyalDarlight: Play Royal exchange features trading pairs from multiple digital currencies  with minimal fees and secure processing htt…,5dacf916beb2f34d8bdbfd7f,"Sentiment(classification='pos', p_pos=0.9310477717157458, p_neg=0.06895222828425007)"
13,"RT @addirktive: Draft design for the exchange interface. Heavily inspired by @stellarxhq still a work in progress.

#citystates #strategy #…",5dacf91dbeb2f34d8bdbfd81,"Sentiment(classification='pos', p_pos=0.9097122611475439, p_neg=0.09028773885245761)"
